ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0843Q6L5P,B0843Q6L5P,ARCOS Sparschäler Edelstahl Silber 130 mm,607000_etq1,"1,361",22,1.20%,0.65%,"1,948",32,1.23%,0.63%,63.94%,77.78%,103,2,7.57%,9.09%,"690,36 €","11,34 €",88,2
B0DNR72NQZ,B0DNNFGWNJ,"CUPERINOX Ölflasche, Ölspender aus Glas tropfsicher für Olivenöl, 500 ml Glasflasche für Olivenöl und Essig",22023,712,12,0.63%,0.35%,958,16,0.60%,0.31%,98.62%,100.00%,85,1,11.94%,8.33%,"1.232,75 €","12,60 €",76,1
B0DP5C2WSZ,B0DNNJCHQP,"Teekanne aus Borosilikatglas mit Teesieb 950ml für Tee und Aufgüsse, Hitzebeständig und Mikrowellengeeignet- Infusion Prestige Collection (950ml)",261113_,"1,630",16,1.44%,0.47%,"2,174",18,1.37%,0.35%,99.95%,100.00%,78,0,4.79%,0.00%,"1.550,04 €","0,00 €",76,0
B09D3YRGL9,B09D3YRGL9,CUPERINOX Klappmesser | 4 in 1 Taschenmesser Messer | 3CR13 Edelstahlblech | taktisches messer | taschenmesser | sprungmesser | rettungsmesser,30061_,"1,759",32,1.55%,0.94%,"2,366",40,1.49%,0.78%,96.53%,92.59%,81,6,4.60%,18.75%,"786,07 €","47,82 €",72,1
B0DVZ4PP1V,B0DT75PQN7, ,27017_,"1,496",17,1.32%,0.50%,"1,914",22,1.21%,0.43%,99.71%,100.00%,73,5,4.88%,29.41%,"1.168,09 €","79,80 €",71,4
B078L5R4RW,B07T6J5JWM,"CUPERINOX Italienischer Espressokocher aus Edelstahl, Induktion, 12 Tassen",25035,"1,358",22,1.20%,0.65%,"2,021",33,1.27%,0.65%,98.78%,95.65%,71,4,5.23%,18.18%,"1.707,18 €","86,50 €",70,4
B089M821V5,B089M821V5,Arcos Fleischmesser | 6 Stück | Steakmesser Set | Tischmesser Säge | Holzgriff | Klinge 110 mm | Fleischmesser | spülmaschinenfest | Kartonverpackung | umweltfreundlich,815500_,"1,135",29,1.00%,0.85%,"1,629",42,1.03%,0.82%,99.78%,100.00%,55,5,4.85%,17.24%,"1.596,75 €","127,18 €",44,3
B078L5R4RW,B00YU2ZWGG,"CUPERINOX Italienischer Espressokocher aus Edelstahl, Induktion, 10 Tassen",25034,890,12,0.79%,0.35%,"1,268",12,0.80%,0.24%,99.01%,100.00%,41,0,4.61%,0.00%,"724,71 €","0,00 €",41,0
B08MT437W9,B08MT437W9,Arcos Professionelles Küchenmesser-Set | Professionelle Küchenmesser | 6 Stück | Edelstahlmesser mit schwarzem Griff | Küchenutensilien Serie Nizza | Spülmaschinenfest,812900,576,7,0.51%,0.21%,790,10,0.50%,0.20%,97.86%,100.00%,42,0,7.29%,0.00%,"1.402,23 €","0,00 €",41,0
B0D8KPMDS5,B0CQTJ6T66,CUPERINOX Steakmesser | Tischmesser | Kotelettmesser | Fleischmesser |12 Stück | gezackte Klinge | Griff aus Polypropylen | Edelstahl | 11 cm | Spülmaschinengeeignet,99922,438,26,0.39%,0.76%,654,55,0.41%,1.08%,97.38%,97.56%,48,6,10.96%,23.08%,"572,68 €","71,94 €",41,3
B0D4WK78XV,B0D4WK78XV,"CUPERINOX Ölbehälter für Altöl, Edelstahlfett, 550 ml, mit Metallfilter, Behälter für Altöl für Küche und Fett, Metallfett, 550 ml, 2 Stück",F22105-22106,396,9,0.35%,0.26%,551,11,0.35%,0.22%,92.95%,77.78%,34,0,8.59%,0.00%,"405,90 €","0,00 €",33,0
B078L5R4RW,B00YU2YTTM,"CUPERINOX Italienischer Espressokocher aus Edelstahl, Induktion, 4 Tassen",25032,465,5,0.41%,0.15%,676,8,0.43%,0.16%,100.00%,100.00%,32,1,6.88%,20.00%,"410,86 €","10,83 €",31,1
B0812BKN39,B0812BKN39,"Arcos Küchenmesser Set 3 teilig aus Edelstahl Serie Nova. Schälmesser für Obst und Gemüse mit ergonomischem Polypropylen Griff. Farben Orange, Gelb, Blau",859800_barras_arcos,"8,185",339,7.23%,9.94%,"11,122",465,7.00%,9.12%,3.30%,2.27%,33,1,0.40%,0.29%,"329,55 €","8,39 €",31,1
B09KH47B8F,B08KW4BFZ9,CUPERINOX Schinkenhalter | schinkenhalterung | Serrano schinken Halterung | jamonero,20200_premium,669,10,0.59%,0.29%,939,11,0.59%,0.22%,94.19%,100.00%,31,0,4.63%,0.00%,"589,97 €","0,00 €",31,0
B007TS6HMQ,B007TS6HMQ,"ARCOS Fischpinzette aus Nitrum Edelstahl - Entfernt fast alle Fischgräten beim Filetieren oder Zubereiten von Fischvariationen - Grau, Serie Gadgets",605000_caja,518,13,0.46%,0.38%,725,20,0.46%,0.39%,21.60%,66.67%,31,2,5.98%,15.38%,"259,17 €","12,42 €",28,2
B09RP6V156,B09RP6V156,CUPERINOX fußnagel knipser | nagelzange fußnägel | fussnägel knipser | nagelzange | profi nagelschere fußnägel | rostfreier Stahl,21920AM_fba,217,2,0.19%,0.06%,279,2,0.18%,0.04%,100.00%,100.00%,27,1,12.44%,50.00%,"253,30 €","8,49 €",27,1
B0D8KPMDS5,B0CQRMMMR5,CUPERINOX Steakmesser | Tischmesser | Kotelettmesser | Fleischmesser | Griff Polypropylen | Edelstahl | 11 cm | Spülmaschinengeeignet,99921,244,8,0.22%,0.23%,395,12,0.25%,0.24%,96.44%,100.00%,25,2,10.25%,25.00%,"248,39 €","18,38 €",25,2
B0H2M5J88T,B0812BKN39,"Arcos Küchenmesser Set 3 teilig aus Edelstahl Serie Nova. Schälmesser für Obst und Gemüse mit ergonomischem Polypropylen Griff. Farben Orange, Gelb, Blau",859800_barras_arcos,"3,191",123,2.82%,3.61%,"4,035",165,2.54%,3.24%,7.29%,5.16%,29,11,0.91%,8.94%,"276,03 €","95,47 €",23,5
B0B464Q8VS,B0B464Q8VS,CUPERINOX Küchenschere | haushaltsschere | schere küchenschere | schere küche | küchenschere spülmaschinenfest | haushaltsscheren hochwertig | 21 cm,21981_,299,17,0.26%,0.50%,379,22,0.24%,0.43%,97.73%,100.00%,27,4,9.03%,23.53%,"225,18 €","31,96 €",23,2
B0G4MX9FRP,B0DNQXN97X,Schinkenhalter aus Edelstahl | zusammenklappbarer Schinkenhalter | drehbarer Schinkenhalter | professioneller Schinkenhalter | Professionelles Schinkenmesser und Schärfer (INOX Set A),20250,571,27,0.50%,0.79%,929,50,0.58%,0.98%,85.68%,68.57%,23,1,4.03%,3.70%,"1.427,25 €","58,82 €",23,1
B0CNK8FCZ2,B017DLLIUO,ARCOS Taschenmesser Edelstahl 85 mm,485929_,"1,678",31,1.48%,0.91%,"2,379",43,1.50%,0.84%,38.13%,45.45%,21,1,1.25%,3.23%,"157,71 €","7,55 €",21,1
B0DP5C2WSZ,B0DNNJPRXB,"Teekanne aus Borosilikatglas mit Teesieb 550ml für Tee und Aufgüsse, Hitzebeständig und Mikrowellengeeignet- Infusion Prestige Collection (550ml)",26111_,197,3,0.17%,0.09%,242,6,0.15%,0.12%,100.00%,0.00%,21,0,10.66%,0.00%,"295,45 €","0,00 €",21,0
B0DP5C2WSZ,B0DNNJPGTY,"Teekanne aus Borosilikatglas mit Teesieb 750ml für Tee und Aufgüsse, Hitzebeständig und Mikrowellengeeignet- Infusion Prestige Collection (750ml)",26112_,208,3,0.18%,0.09%,259,4,0.16%,0.08%,99.58%,100.00%,20,0,9.62%,0.00%,"340,08 €","0,00 €",20,0
B0G4MX9FRP,B0G2MT6K5N,"CUPERINOX Schinkenhalter | Drehbarer Schinkenhalter | Klappbarer Schinkenhalter | 25 cm Schinkenmesser, Ausbeinmesser und Messerschärfer | Keine Montage erforderlich",20251_FBA,209,9,0.18%,0.26%,327,28,0.21%,0.55%,95.76%,88.89%,21,5,10.05%,55.56%,"1.396,47 €","281,30 €",20,4
B0DNQXN97X,B0DNQXN97X,Schinkenhalter aus Edelstahl | zusammenklappbarer Schinkenhalter | drehbarer Schinkenhalter | professioneller Schinkenhalter | Professionelles Schinkenmesser und Schärfer (INOX Set A),20250,277,16,0.24%,0.47%,502,39,0.32%,0.76%,92.02%,80.95%,19,0,6.86%,0.00%,"1.318,13 €","0,00 €",19,0
B078L5R4RW,B00YU2ZS1A,"CUPERINOX Italienischer Espressokocher aus Edelstahl, Induktion, 6 Tassen",25033,356,8,0.31%,0.23%,497,11,0.31%,0.22%,99.29%,100.00%,17,1,4.78%,12.50%,"267,31 €","13,32 €",17,1
B09G9WBKPG,B09G9WBKPG,ARCOS Steakmesser-Set 6-teilig Edelstahl 110 mm,705500(805109),"3,020",82,2.67%,2.41%,"4,285",109,2.70%,2.14%,5.22%,8.75%,20,1,0.66%,1.22%,"239,32 €","10,08 €",17,1
B0BR2387LD,B005LR7EP6,"ARCOS Messerschärfer Professionell - Hergestellt aus ABS, Schärft Messer mühelos mit Sicherheit und Präzision - Schwarz, Serie Afiladores, Maße 110 x 90 x 150 mm",610000_,"6,873",154,6.07%,4.52%,"9,419",213,5.93%,4.18%,8.15%,9.70%,18,0,0.26%,0.00%,"1.214,79 €","0,00 €",16,0
B08LVZCG23,B08LVZCG23,"Arcos Küchenmesser-Set, Rosa, 3-teilig | Chefmesser zum Schälen von Gemüse | Limited Edition | Solidarität",814500_fba,262,11,0.23%,0.32%,372,16,0.23%,0.31%,99.03%,100.00%,21,9,8.02%,81.82%,"492,03 €","189,00 €",16,4
B096YZTM9S,B08MTXC14T,Arcos Steakmesser-Set | 6-teiliges Steakmesser | Steakmesser | Edelstahlbesteck | Klinge 110 mm | runder Griff und ovale Form | Monobock | umweltfreundliche Verpackung (6 Stück),809900,279,8,0.25%,0.23%,388,16,0.24%,0.31%,97.35%,100.00%,16,0,5.73%,0.00%,"540,70 €","0,00 €",16,0
B09KH47B8F,B098TFPYLY,CUPERINOX schinkenhalter | Serrano schinken Halterung | professionelles Schinkenmesser mit Alveolen | schinkenhalter mit Messer,20228_,255,8,0.23%,0.23%,384,13,0.24%,0.25%,95.51%,100.00%,16,2,6.27%,25.00%,"603,07 €","79,98 €",16,2
B0DVZ4PP1V,B0DT73LYPQ,CUPERINOX kindermesser | montessori messer | 16-teiliges | schneidemesser kinder | küchenhelfer set | wellenschneider baby | schneideset kinder,27016,943,13,0.83%,0.38%,"1,139",25,0.72%,0.49%,100.00%,100.00%,18,4,1.91%,30.77%,"327,82 €","79,96 €",16,2
B0DVZ4PP1V,B0DT73LYPQ,CUPERINOX kindermesser | montessori messer | 16-teiliges | schneidemesser kinder | küchenhelfer set | wellenschneider baby | schneideset kinder,27016_,943,13,0.83%,0.38%,"1,139",25,0.72%,0.49%,100.00%,100.00%,19,8,2.01%,61.54%,"356,76 €","157,52 €",15,4
B0F5NXVZ56,B072FGV2YH,Arcos Nova Schälmesser-Set Edelstahl 100 mm,189100,"4,649",576,4.11%,16.90%,"6,788",886,4.27%,17.37%,3.93%,0.66%,14,3,0.30%,0.52%,"219,23 €","47,26 €",14,3
B0812P3LZT,B0812P3LZT,Arcos Nova - Set 3 Buttermesser - Edelstahl NITRUM 70 mm - Griff in verschiedenen Farben,859900_,130,7,0.11%,0.21%,195,15,0.12%,0.29%,92.02%,100.00%,18,5,13.85%,71.43%,"184,77 €","46,20 €",14,2
B00J3ZVMCS,B00J3ZVMCS,Arcos Serie Toscana - Kaffeelöffel Set (6 löffel) - Monoblock aus einem Stück Edelstahl 18/10 und 140 mm Farbe Silber,574200,164,7,0.14%,0.21%,224,9,0.14%,0.18%,44.28%,16.67%,16,0,9.76%,0.00%,"151,84 €","0,00 €",13,0
B0BR2M1YM4,B08M3B43J6,"Arcos Schinkenmesser-Set, 3-teilig, Schinkenhalter, Edelstahl (240 mm), Wetzstahl und Schinkenabdeckung, professionelles Schinkenmesser-Set, iberische Palette, Eco",704300,128,6,0.11%,0.18%,215,8,0.14%,0.16%,97.85%,100.00%,12,8,9.38%,133.33%,"363,44 €","235,48 €",12,8
B0CQTKPL63,B0CQTKPL63,CUPERINOX Fleischmesser | Tischmesser | Kotelettmesser | 24 Stück | gezackte Klinge | Griff aus Polypropylen | Edelstahl | 11 cm | Spülmaschinengeeignet,99923,269,12,0.24%,0.35%,356,15,0.22%,0.29%,95.99%,92.86%,12,0,4.46%,0.00%,"240,22 €","0,00 €",12,0
B0DNQXN97X,B0DNQXN97X,Schinkenhalter aus Edelstahl | zusammenklappbarer Schinkenhalter | drehbarer Schinkenhalter | professioneller Schinkenhalter | Professionelles Schinkenmesser und Schärfer (INOX Set A),20250_fbm,277,16,0.24%,0.47%,502,39,0.32%,0.76%,92.02%,80.95%,12,0,4.33%,0.00%,"719,88 €","0,00 €",12,0
B0CFVJCKNQ,B00I9XTLSC,ARCOS Professioneller Messerschärfer mit Ergonomischem Griff für Manuelle Verwendung - Keramik- und Kohlenstoffrollen - Rot und Schwarz,610600,"2,131",38,1.88%,1.11%,"2,753",49,1.73%,0.96%,3.69%,14.29%,11,5,0.52%,13.16%,"137,58 €","56,78 €",11,5
