ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B093313MH6,B093313MH6,Arcos | Cuchillo de deshuesar| Cuchillo deshuesador | cuchillo deshuesador jamón | cuchillo deshuesador (140 mm) Clásica| Envase Eco | cuchillo puntilla jamonero,256210_fba,497,10,0.09%,0.07%,715,14,0.09%,0.07%,100.00%,100.00%,8,0,1.61%,0.00%,"150,86 €","0,00 €",7,0
B0CQ5G2HVQ,B09T9PKHHR,"Arcos Sarten Antiadherente 18 cm - Aluminio Forjado, Mango Acero Inoxidable Efecto Frío, Apta para Inducción y Lavavajillas, Sistema Ahorro Energético, Serie Samoa Basic",716010,170,3,0.03%,0.02%,242,4,0.03%,0.02%,77.06%,50.00%,7,0,4.12%,0.00%,"183,75 €","0,00 €",7,0
B0CQ5G2HVQ,B09T9S9NZ4,"Arcos Sarten Antiadherente 24 cm - Aluminio Forjado, Full Induction, Mango Acero Inoxidable Efecto Frío, Apta Lavavajillas, Ahorro Energético, Serie Samoa",716310,625,16,0.11%,0.12%,920,25,0.11%,0.13%,20.05%,12.50%,7,0,1.12%,0.00%,"258,65 €","0,00 €",7,0
B09WYZHGQF,B09WYZHGQF,Arcos Nordika Juego 3 Cuchillos para Queso Acero Inoxidable Nitrum,167200_us,196,7,0.03%,0.05%,286,9,0.03%,0.05%,69.05%,80.00%,7,1,3.57%,14.29%,"481,60 €","68,80 €",7,1
B0C49YDKL4,B0C49YDKL4,Arcos Serie Nordika - Cuchillo Usuba - Acero Inoxidable NITRUM - Hoja de 175 mm - Mango de Madera Ovengkol 100% natural de bosques certificados FSC® - Embalaje 100% reciclado,168000,158,7,0.03%,0.05%,217,10,0.03%,0.05%,86.17%,100.00%,7,0,4.43%,0.00%,"315,67 €","0,00 €",7,0
B0CN13SJ98,B0CN13SJ98,"HENDI Expositor con cubierta deslizante roll-top, Doble",H871768,590,42,0.10%,0.30%,923,59,0.11%,0.30%,42.40%,42.22%,7,1,1.19%,2.38%,"334,25 €","47,75 €",7,1
B0DKP7F29P,B0DJBXPR33,Arcos Serie Samoa Iconic | Sarten Antiadherente Cerámico 28 cm | Aluminio Forjado | Apta cualquier cocina | Mango Acero Inoxidable | Apta lavavajillas | Color Negro | LIBRE DE (PFOA/PTFE/PFOS),716522,276,2,0.05%,0.01%,386,2,0.05%,0.01%,78.04%,0.00%,7,0,2.54%,0.00%,"342,00 €","0,00 €",7,0
B0F9X4NXL3,B0F9GJRSSJ,"CUPERINOX Cuchillos Mesa, cuchillo carne, cuchillo mantequilla, Set 6 piezas, acero inoxidable, hoja con filo y sierra, cuchillo untar. Apto lavavajillas. Mango ergonomico",20043_6,165,5,0.03%,0.04%,227,6,0.03%,0.03%,100.00%,100.00%,7,2,4.24%,40.00%,"68,93 €","18,98 €",7,2
B0F9X4NXL3,B0F9KXQKLG,"CUPERINOX Cuchillos Mesa, cuchillo carne, cuchillo mantequilla, Set 24 piezas, acero inoxidable, hoja con filo y sierra, cuchillo untar. Apto lavavajillas. Mango ergonomico",20043-24,114,3,0.02%,0.02%,134,5,0.02%,0.03%,100.00%,100.00%,8,0,7.02%,0.00%,"159,92 €","0,00 €",7,0
B0G3ZJ89NB,B0FZD7ZY1W,CUPERINOX Cuchillo Jamonero Profesional 25 cm – Hoja Alveolada de Acero Inoxidable Antideslizante con Mango Ergonómico – Corte Preciso y Fino para Jamón y Paletilla| Maestros del Corte,19303f,538,13,0.09%,0.09%,675,14,0.08%,0.07%,98.56%,100.00%,7,0,1.30%,0.00%,"139,93 €","0,00 €",7,0
B0F1ZF7H1L,B005LR6GE6,Arcos Cuchillo Cocinero Negro 250 mm,233700_,"1,771",32,0.31%,0.23%,"2,364",41,0.29%,0.21%,18.16%,40.91%,6,0,0.34%,0.00%,"260,70 €","0,00 €",6,0
B0F1ZF7H1L,B005LR6H5O,Arcos Cuchillo Chef Forjado Acero Inoxidable. Cuchillo Cocina Profesional Multiusos Cortar Carne y Verduras. Mango Ergonómico Polioximetileno y Hoja 300mm. Serie Riviera. Color Negro.,233800_,293,13,0.05%,0.09%,366,16,0.04%,0.08%,87.65%,66.67%,6,1,2.05%,7.69%,"359,94 €","59,99 €",6,1
B0752X4WV1,B005LR73R0,Arcos Juego Chuleteros Mango Madera 110 mm,372000,"4,633",124,0.81%,0.90%,"6,850",191,0.84%,0.96%,14.89%,23.81%,6,0,0.13%,0.00%,"143,57 €","0,00 €",6,0
B0F1ZF7H1L,B00BHZPO12,Arcos Cuchillo Cocina Acero Inoxidable Blanco 180 mm,233524_,433,7,0.08%,0.05%,542,7,0.07%,0.04%,37.06%,0.00%,6,1,1.39%,14.29%,"209,94 €","34,99 €",6,1
B0752V8D5V,B00I9XTGJ6,ARCOS Taco Redondo Protector de Cuchillos Caucho Termoplástico 225 mm,794000,308,5,0.05%,0.04%,474,8,0.06%,0.04%,23.47%,50.00%,6,1,1.95%,20.00%,"149,94 €","24,99 €",6,1
B017HKSR4G,B00WUZRKJW,Arcos Cuchillos de Mesa - Hoja de Acero Inoxidable Nitrum 110 mm - Mango Ergonómico de Polipropileno - Ideal para Comedor - Color Crema - Serie Elegance,802900,708,15,0.12%,0.11%,"1,125",20,0.14%,0.10%,26.97%,33.33%,17,0,2.40%,0.00%,"59,33 €","0,00 €",6,0
B0752X1Z92,B01KZWSCSE,ARCOS Mochila para 9 Cuchillos de Cocina en Poliéster y PVC. Bolsa Portacuchillos Profesional para Almacenar y Transportar Utensilios de Cocina. 330 x 480 x 185 Mm. Color Negro,694900,199,9,0.03%,0.07%,290,11,0.04%,0.06%,86.42%,88.89%,6,4,3.02%,44.44%,"389,40 €","259,60 €",6,4
