Panel de ventas
Última actualización,September 03 2026 6:53:17 PM CEST

Filtrar selección
Fecha,Custom
Desglose de ventas,Total del sitio web de Amazon
Canal de gestión logística,Ambos (Amazon y vendedor)

Instantánea de ventas
Total de artículos de un pedido,Unidades encargadas,Ventas de productos encargados,Promedio de unidades/artículo de un pedido,Promedio de ventas/artículo de un pedido
14088,17208,"328.883,06 €",1.22,23.34
Comparar ventas - Vista de gráfico
Hora,Intervalo de fechas seleccionado (Ventas de productos encargados),Intervalo de fechas seleccionado (Unidades pedidas)
2025-12-07T00:00:00,"1.748,47 €",78.0
2025-12-08T00:00:00,"1.706,20 €",90.0
2025-12-09T00:00:00,"2.198,75 €",91.0
2025-12-10T00:00:00,"1.706,38 €",98.0
2025-12-11T00:00:00,"1.561,15 €",82.0
2025-12-12T00:00:00,"1.544,06 €",76.0
2025-12-13T00:00:00,"1.753,37 €",90.0
2025-12-14T00:00:00,"2.156,39 €",120.0
2025-12-15T00:00:00,"1.719,82 €",89.0
2025-12-16T00:00:00,"1.352,90 €",75.0
2025-12-17T00:00:00,"1.006,57 €",58.0
2025-12-18T00:00:00,"918,43 €",49.0
2025-12-19T00:00:00,"1.210,74 €",57.0
2025-12-20T00:00:00,"1.516,09 €",57.0
2025-12-21T00:00:00,"1.670,87 €",79.0
2025-12-22T00:00:00,"934,10 €",46.0
2025-12-23T00:00:00,"641,58 €",37.0
2025-12-24T00:00:00,"551,58 €",31.0
2025-12-25T00:00:00,"607,40 €",30.0
2025-12-26T00:00:00,"523,30 €",27.0
2025-12-27T00:00:00,"1.155,78 €",52.0
2025-12-28T00:00:00,"522,26 €",28.0
2025-12-29T00:00:00,"822,36 €",36.0
2025-12-30T00:00:00,"657,35 €",37.0
2025-12-31T00:00:00,"654,23 €",33.0
Comparar ventas - Vista de tabla
,Total de artículos de un pedido,Unidades encargadas,Ventas de productos encargados,Promedio de unidades/artículo de un pedido,Promedio de ventas/artículo de un pedido
Intervalo de fechas seleccionado,14088,17208,"328.883,06 €",1.22,23.34
