ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B08M7BMR2S,B08LNRV6N6,"Arcos Aiguiseur de couteaux à main, fabriqué en ABS + TPE, rouleaux en céramique et carbure, blanc et noir",610624,261,1,0.09%,0.01%,357,1,0.08%,0.01%,98.15%,100.00%,36,0,13.79%,0.00%,"516,25 €","0,00 €",36,0
B0DT73LYPQ,B0DT73LYPQ,"CUPERINOX Couteaux Méthode Montessori | Kit Couteau Sécurité de Cuisine pour Enfants | Set de 16 Couteaux d'Apprentissage dès 2 Ans | Tablier, Gant, Moules et Planche à Découper | Kids Collection",27016_,530,11,0.18%,0.14%,752,18,0.18%,0.16%,99.85%,100.00%,39,5,7.36%,45.45%,"736,69 €","86,95 €",36,4
B0DP5G2L5W,B0DNNJCHQP,"Cuperinox Théière en verre borosilicate avec infuseur pour thé et infusions, résistante à la chaleur et compatible micro-ondes- Infusion Prestige Collection (950 ml)",26113_,"1,021",12,0.34%,0.15%,"1,295",14,0.30%,0.13%,99.15%,100.00%,36,0,3.53%,0.00%,"656,64 €","0,00 €",35,0
B0C8GKYLNK,B005LR7A1Y,"Arcos Sac pour Couteaux Professionnel - Capacité 4 Pièces - 100% Polyester, 46x27,5 cm - Stockage Sécurisé et Portable (Couteaux Non Inclus) - Noir",690200,"6,329",104,2.11%,1.33%,"8,946",130,2.11%,1.17%,15.78%,3.67%,35,0,0.55%,0.00%,"759,73 €","0,00 €",34,0
B0G473TPF1,B0DT73LYPQ,"CUPERINOX Couteaux Méthode Montessori | Kit Couteau Sécurité de Cuisine pour Enfants | Set de 16 Couteaux d'Apprentissage dès 2 Ans | Tablier, Gant, Moules et Planche à Découper | Kids Collection",27016,572,1,0.19%,0.01%,848,2,0.20%,0.02%,100.00%,100.00%,32,0,5.59%,0.00%,"447,68 €","0,00 €",30,0
B0B464Q8VS,B0B464Q8VS,"CUPERINOX Ciseau de Cuisine Multifonction - Ciseau Pizza, Inox - 21 cm",21981_,222,8,0.07%,0.10%,275,9,0.06%,0.08%,100.00%,100.00%,27,1,12.16%,12.50%,"261,39 €","9,99 €",27,1
B0DP5G2L5W,B0DNNJPRXB,"Cuperinox Théière en verre borosilicate avec infuseur pour thé et infusions, résistante à la chaleur et compatible micro-ondes- Infusion Prestige Collection (550ml)",26111_,269,2,0.09%,0.03%,374,2,0.09%,0.02%,99.35%,100.00%,28,0,10.41%,0.00%,"456,14 €","0,00 €",27,0
B09KLZ928M,B098TFPYLY,CUPERINOX Support à jambon professionnel type Grondola + Couteau à jambon Alveolos acier inoxydable (240 mm feuille) + Couvre jambon universel | ensemble de jambon,20228_,383,6,0.13%,0.08%,504,9,0.12%,0.08%,94.91%,85.71%,25,1,6.53%,16.67%,"945,41 €","33,32 €",25,1
B08X221B8Q,B08MQJCD2V,Arcos Jeu de Couteaux de Cuisine Professionnels en Acier Inoxydable | Manche Noir | Ustensiles | Couteau Japonais Santoku | Lave-Vaisselle (4 Pièces),816900,472,8,0.16%,0.10%,629,11,0.15%,0.10%,98.62%,100.00%,24,1,5.08%,12.50%,"667,28 €","28,38 €",24,1
B09LR41V1Z,B09L4YNBZZ,Arcos Couteau à Jambon Professionnel Alvéolé | Comprend Une Pince à Jambon | Couteau à Jambon avec Alvéolé Couteaux Professionnel| Acier Inoxidable Nitrum 240 mm,856500,561,16,0.19%,0.20%,694,26,0.16%,0.23%,96.31%,100.00%,24,1,4.28%,6.25%,"627,00 €","22,01 €",24,1
