Región,Nombre de la campaña,ID de la campaña,País,Código de estado,Estado,Tipo,Segmentación,Fecha de inicio de la campaña,Fecha de finalización de la campaña,Importe del presupuesto de la campaña (convertido),Importe del presupuesto de la campaña,CPM (convertido),CPM,Ajuste de la puja por el top de búsquedas,Clics,CTR,Coste total (convertido),Coste total,CPC (convertido),CPC,Vistas de páginas de detalles del producto (nuevos para la marca),Añadir a la cesta,Añadir a la cesta (nuevos para la marca),Búsquedas de marca,Búsquedas de marca (nuevos para la marca),Vistas a la página de la Brand Store (nuevos para la marca),Compras,Ventas (convertido),Ventas,ROAS,Porcentaje de impresiones del top de búsquedas
ACTIVADA,AZ - SP - CUPERINOX-Cuchillería Cocina - AUTO - 809900,A07915353JMHOBHMAXI80,Francia,CAMPAIGN_OUT_OF_BUDGET,Sin presupuesto,SP,AUTOMATIC,17/06/2021,,"5,00 €","5,00 €",,,0,1074,"0,0049","607,05 €","607,05 €","0,57 €","0,57 €",0,0,0,0,0,0,117,"3925,61 €","3925,61 €",6.466699612881968,<5%
EN PAUSA,819900,A0253095ZUMY1XZQ56NX,Francia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,17/06/2021,,"1,70 €","1,70 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,Campagne - 18/06/2021 13:48:23,A08840542JJL4Y7R0ESUH,Francia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,17/06/2021,,"2,00 €","2,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
ACTIVADA,AZ - SP - CUPERINOX-Cuchillería Cocina - AUTO - 813500,A09222933CLZH7UM5NIAU,Francia,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,AUTOMATIC,17/06/2021,,"5,00 €","5,00 €",,,0,1002,"0,0049","592,61 €","592,61 €","0,59 €","0,59 €",0,0,0,0,0,0,87,"2609,03 €","2609,03 €",4.402608798366546,<5%
ACTIVADA,AZ - SP - ARCOS-Jamoneros - AUTO,A09807243E7ZT4DV1HKAI,Francia,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,AUTOMATIC,17/06/2021,,"1,50 €","1,50 €",,,"0,20",801,"0,0062","472,75 €","472,75 €","0,59 €","0,59 €",0,0,0,0,0,0,92,"1685,47 €","1685,47 €",3.5652459016393445,<5%
ACTIVADA,AZ - SP - ARCOS-Cuchillería Cocina - AUTO - 2570_,A04251972YX2WVJY2YSMW,España,CAMPAIGN_OUT_OF_BUDGET,Sin presupuesto,SP,AUTOMATIC,17/06/2021,,"3,00 €","3,00 €",,,0,2449,"0,0090","716,27 €","716,27 €","0,29 €","0,29 €",0,0,0,0,0,0,158,"11.178,82 €","11.178,82 €",15.606991776843936,<5%
FINALIZADA,842300_primeday,A05027161FT3PALVVQ93T,España,ENDED,Finalizada,SP,AUTOMATIC,21/06/2021,27/06/2021,"3,00 €","3,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
ACTIVADA,AZ - SP - CUPERINOX-Jamoneros - AUTO - gondola+alveolos,A01703851T7QZMG5NSXGE,España,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,AUTOMATIC,07/07/2021,,"4,00 €","4,00 €",,,0,1956,"0,0095","966,18 €","966,18 €","0,49 €","0,49 €",0,0,0,0,0,0,242,"6119,58 €","6119,58 €",6.333788735018321,<5%
ACTIVADA,AZ - SP - CUPERINOX-Jamoneros - AUTO - gondola+704300,A02615043P6UXJS3PU1XK,España,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,AUTOMATIC,09/07/2021,,"3,00 €","3,00 €",,,0,838,"0,0057","414,17 €","414,17 €","0,49 €","0,49 €",0,0,0,0,0,0,57,"1952,64 €","1952,64 €",4.714585798102232,<5%
FINALIZADA,Campaña - 21/11/2022 13:39:15,A0022514TVRPUK0NVJOH,España,ENDED,Finalizada,SP,AUTOMATIC,21/11/2022,02/01/2023,"3,00 €","3,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,navaja_tactica,A04448762ZVNQ171MRKH8,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,05/08/2021,,"1,50 €","1,50 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
ACTIVADA,navaja_con_afilador,A0836358BMGYUA2STNXN,España,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,AUTOMATIC,07/08/2021,,"1,50 €","1,50 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,NAVAJA CON AFILADOR,A00937141KRLSWCUHVTRQ,Francia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,14/08/2021,,"2,00 €","2,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,navaja_tactica,A0083713TDUS05DPHWUS,Italia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,14/08/2021,,"1,25 €","1,25 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,21973,A03624133IH2FU10V2JP4,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,18/08/2021,,"1,50 €","1,50 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
ACTIVADA,AZ - SP - ARCOS-Cuchillo Pelador - PT - ATQ,A05965701HL43RGZRE6O8,España,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,MANUAL,25/08/2021,,"5,00 €","5,00 €",,,0,176,"0,0139","12,28 €","12,28 €","0,07 €","0,07 €",0,0,0,0,0,0,37,"361,59 €","361,59 €",29.445439739413693,"16,34%"
EN PAUSA,30061,A07375601CW7DVVTI44DS,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,01/09/2021,,"2,50 €","2,50 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,AZ - SP - CUPERINOX-Cuchillos Mesa - AUTO - 815600_chuletero_inox,A026788729SKB4DR5BRSP,Alemania,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,05/09/2021,,"2,50 €","2,50 €",,,0,1302,"0,0040","445,27 €","445,27 €","0,34 €","0,34 €",0,0,0,0,0,0,105,"2591,43 €","2591,43 €",5.819907022705318,<5%
ACTIVADA,AZ - SP - CUPERINOX-Navajas - AUTO,A0448140RMTPVJB1I6MO,Francia,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,AUTOMATIC,05/09/2021,,"1,50 €","1,50 €",,,0,36,"0,0068","13,85 €","13,85 €","0,38 €","0,38 €",0,0,0,0,0,0,2,"15,42 €","15,42 €",1.1133574007220215,0
EN PAUSA,navaja_tactica_sin_afilador - IT,A046278029B7SV4KQULAF,Italia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,05/09/2021,,"2,50 €","2,50 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
