ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B08NW1VQRT,B08NW1VQRT,"CUPERINOX coltello per funghi, in acciaio inox, con custodia, coltello incluso, coltello micologica",PE2181,"14,507",216,3.86%,1.86%,"20,754",294,3.92%,1.76%,99.66%,99.00%,3,0,0.02%,0.00%,"32,97 €","0,00 €",2,0
B09CT8JXHT,B09CT8JXHT,"HENDI Macchina elettrica per zucchero filato professionale, 220–240V, 50Hz, 1130W, 520x520x(H)503mm, acciaio inox, rosa",H282731,128,11,0.03%,0.09%,168,12,0.03%,0.07%,74.52%,91.67%,2,2,1.56%,18.18%,"588,52 €","588,52 €",2,2
B0DN1SH2VV,B09NRTBSLK,"HENDI Matrice, stampo, sigillante, per HENDI 330005 Termosigillatrice di vaschette, guarnizione in silicone nero, adatto per 2 contenitori da 178x113mm ciascuno, alluminio lucidato",H805589,84,15,0.02%,0.13%,107,15,0.02%,0.09%,36.46%,63.64%,2,1,2.38%,6.67%,"307,23 €","152,98 €",2,1
B0B42QTHTP,B0B42QTHTP,TIJERA COCINA FORBICI CUCINA | FORBICI DA CUCINA | FORBICI POLLO | FORBICI PESCARE | FORBICE PER PIZZA | FORBICE DA CUCINA | 18 CM,21991_,21,1,0.01%,0.01%,33,3,0.01%,0.02%,100.00%,100.00%,2,1,9.52%,100.00%,"14,54 €","6,55 €",2,1
B0CQDR27LL,B0BRNJF5D2,Arcos Serie Samoa | Set di padelle 20 e 24 cm | Alluminio Forgiato | FULL INDUCTION | Adatto qualsiasi cucina | Anse Acciaio inossidabile effetto freddo | Lavabile in lavastoviglie | Colore Nero,717810,175,6,0.05%,0.05%,193,8,0.04%,0.05%,88.07%,100.00%,3,2,1.71%,33.33%,"168,79 €","104,84 €",2,1
B0CS6V91GR,B0CS6V91GR,CUPERINOX Coltelli da tavolo con manico in legno - Set di 6 coltelli da carne dentati - stile pallegno tradizionale - adatti per l'uso quotidiano,14015,126,3,0.03%,0.03%,149,3,0.03%,0.02%,100.00%,100.00%,2,0,1.59%,0.00%,"39,98 €","0,00 €",2,0
B0DFFNYKQ9,B0CW66H3TR,ARCOS Pelapomodoro - Lama Seghettata in Acciaio Inox | Maniglia ergonomica | Ideale per Pomodori,607420_,24,0,0.01%,0.00%,38,0,0.01%,0.00%,100.00%,0.00%,2,0,8.33%,0.00%,"15,98 €","0,00 €",2,0
B0DFFNYKQ9,B0CW68KM18,ARCOS Pelapatate da cucina - Lama in acciaio inossidabile | Maniglia ergonomica | Strumento versatile per sbucciare frutta e verdura,607300,42,1,0.01%,0.01%,53,1,0.01%,0.01%,86.96%,100.00%,2,0,4.76%,0.00%,"15,98 €","0,00 €",2,0
B0DJBZ81XL,B0DJBZ81XL,"Arcos Serie Samoa Iconic | Casseruola bassa antiaderente Ceramica 28 cm e 4,3 L | Alluminio forgiato | Adatta qualsiasi cucina | Manico in acciaio inox | Colore nero | Senza (PFOA/PTFE/PFOS)",717122,47,1,0.01%,0.01%,70,1,0.01%,0.01%,98.44%,100.00%,2,0,4.26%,0.00%,"139,00 €","0,00 €",2,0
B0DJBZRDXV,B0DJBZRDXV,Arcos Serie Samoa Iconic | Padella antiaderente in ceramica 24 cm | alluminio forgiato | Adatta a qualsiasi cucina | Manico in acciaio inox | Lavabile in lavastoviglie | Colore nero | privo di,716322,28,1,0.01%,0.01%,39,2,0.01%,0.01%,90.32%,100.00%,2,0,7.14%,0.00%,"83,90 €","0,00 €",2,0
B0DQR3T9MM,B0DQR3T9MM,CUPERINOX Prosciutto professionale | prosciutto rotante inossidabile | prosciutto pieghevole | tagliere prosciutto | prosciutto | supporto prosciutto,SC_20250,44,3,0.01%,0.03%,55,3,0.01%,0.02%,95.92%,100.00%,2,0,4.55%,0.00%,"109,98 €","0,00 €",2,0
B0H8KPH6BY,B0F95HH915,"Pinza per pedicure, professionale, tagliaunghie dei piedi, in acciaio inox, manico ergonomico antiscivolo, facile da pulire, con custodia, tagliaunghie grande",A10001,9,0,0.00%,0.00%,11,0,0.00%,0.00%,100.00%,0.00%,2,0,22.22%,0.00%,"14,98 €","0,00 €",2,0
