ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FGDF2SHZ,B0FGDF2SHZ,VINFERMATON Antihormigas Efecto Permanente | Insecticida Cucarachas y Hormigas Pack 2×600 ml | Efecto hasta 1 año | Interior y Exterior | Profesional y Doméstico | MADE IN SPAIN,V0013_PACK2,"2,716",90,0.07%,0.09%,"3,780",135,0.07%,0.09%,87.55%,83.33%,353,30,13.00%,33.33%,"5.544,28 €","454,64 €",312,19
B0DNNL2TZQ,B0DNNF3839,"CUPERINOX Aceitera de Cristal Antigoteo para Aceite de Oliva, Resistente y Fácil de Limpiar Gourmet Oil Collection (1000 Ml)",22024_,"3,386",133,0.09%,0.13%,"5,009",181,0.09%,0.12%,99.13%,100.00%,310,22,9.16%,16.54%,"5.483,08 €","368,81 €",295,20
B0FT8NPR4X,B0FT8NPR4X,BIOLEAF® – Gel WC + Desincrustante Baños Pack 2×750 ml | Limpieza Antical Baño | Fórmula Biodegradable con Esencias Marinas | Dermatológicamente Testado|100% MADE IN SPAIN,3429,"4,179",47,0.11%,0.04%,"5,249",59,0.09%,0.04%,98.41%,93.62%,301,15,7.20%,31.91%,"2.992,98 €","149,84 €",293,14
B0DNNL2TZQ,B0DNN4J6Q8,"CUPERINOX Aceitera antigoteo cristal para Aceite de Oliva, Vinagre etc. A prueba de fugas, Aceitera cristal antigoteo tambien aceiteros cocina ideal para Ensaladas, BBQ, cooking oil container (125 ML)",22021_,"6,803",211,0.17%,0.20%,"9,337",288,0.17%,0.19%,99.72%,99.49%,390,54,5.73%,25.59%,"4.386,46 €","549,12 €",285,24
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_,"149,816","2,558",3.82%,2.42%,"202,078","3,591",3.64%,2.39%,14.77%,13.51%,329,70,0.22%,2.74%,"3.361,82 €","649,34 €",284,39
B0CYTKGNPM,B0843Q6L5P,ARCOS Pelador Profesional Acero Inoxidable Cromado 130 mm,607000_etq1,"39,685","1,244",1.01%,1.18%,"60,141","1,775",1.08%,1.18%,0.64%,3.00%,304,12,0.77%,0.96%,"1.930,79 €","77,89 €",284,6
B0DKP7F29P,B0DJBZPLJF,Arcos Serie Samoa Iconic | Sarten Antiadherente Cerámico 28 cm | Aluminio Forjado | Apta cualquier cocina | Mango Acero Inoxidable | Apta lavavajillas | Color Beige | LIBRE DE (PFOA/PTFE/PFOS),716524,"4,475",90,0.11%,0.09%,"6,370",128,0.11%,0.09%,92.90%,97.50%,290,13,6.48%,14.44%,"12.965,95 €","581,15 €",282,13
B0H4FZYK8Z,B0H3Q8F8RW,"VINFERMATÓN Antihormigas y Anticucarachas Pack 3 Insecticida Residual 400 ml x 3 | Total 1,2L | Efecto hasta 1 Año | Interior y Exterior | Spray Profesional",RESIDUAL400ML_PACK3,"1,940",94,0.05%,0.09%,"2,679",121,0.05%,0.08%,99.02%,100.00%,302,50,15.57%,53.19%,"5.663,27 €","932,25 €",282,40
B08M7BMR2S,B08LNRV6N6,"Arcos Afiladores, Afilador de Cuchillos de Mano, Hecho de ABS + TPE, Rodillos Cerámico y Carburo, Color Blanco y Negro",610624,"6,405",165,0.16%,0.16%,"8,112",199,0.15%,0.13%,98.15%,96.99%,287,6,4.48%,3.64%,"3.903,21 €","79,82 €",281,6
B09GSCQQF9,B07G77FNSF,"Arcos Serie Cuchillos de Mesa Caja 12 uds Cuchillo Postre, Hoja Serrada de Acero Inoxidable NITRUM de 105 mm, Mango Polipropileno Color crema (12 UDS)",370100_,"2,796",76,0.07%,0.07%,"4,243",103,0.08%,0.07%,96.92%,100.00%,316,33,11.30%,43.42%,"5.755,01 €","596,70 €",272,13
