ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B08M5K93QF,B08M5K93QF,Arcos Juego Cuchillos Mesa | 6 Uds | Cuchillo Postre | Cuchillos Mesa | Cuchillo Carne | Hoja 105 mm | Acero Inoxidable Martensítico | Mango Polipropileno | Apto lavavajillas | Envase Ecológico,703500FBM,"1,542",33,0.04%,0.03%,"2,245",53,0.04%,0.03%,98.31%,100.00%,42,5,2.72%,15.15%,"536,78 €","56,15 €",36,3
B08Y8NS7PN,B08MT61GJV,Arcos Juego Cuchillos Cocina | 2 pzas |Profesional (150 mm) | Cuchillo Cortador Verduras (100 mm)| Acero Inoxidable Nitrum | Mango Negro | Envase Eco,819900fbm,637,17,0.01%,0.01%,863,19,0.01%,0.01%,96.33%,100.00%,44,1,6.91%,5.88%,"790,86 €","17,99 €",36,1
B0FWM351K4,B09D1V45YK,"CUPERINOX® Couture Series - Tijera Costura Profesional 16,5 cm | Acero Inoxidable Irrompible | Mango Ergonómico Antideslizante | Corte Preciso y Duradero",21951_,511,25,0.01%,0.02%,668,37,0.01%,0.02%,100.00%,100.00%,38,2,7.44%,8.00%,"272,24 €","14,07 €",36,2
B09T6HFG2F,B09T6HFG2F,Arcos Wok Antiadherente Aluminio Forjado 28 cm,717510,"1,558",35,0.04%,0.03%,"2,285",47,0.04%,0.03%,29.54%,41.38%,36,2,2.31%,5.71%,"1.539,00 €","85,50 €",36,2
B0FWK4CNH3,B0B42QTHTP,CUPERINOX | Tijeras de pescado 18 cm | Tijeras Cocina | tijeras de cocinero profesional para aves pescado carne caza| Accesorios de cocina,21991_,411,18,0.01%,0.02%,585,31,0.01%,0.02%,93.17%,100.00%,40,2,9.73%,11.11%,"249,01 €","12,50 €",36,1
B0CVH8PC99,B0CQRMMMR5,CUPERINOX Cuchillos Carne | Cuchillos Mesa | Cuchillos Chuleteros | 6 Piezas | Hoja Serrada | Mango Polipropileno | Acero Inoxidable | 11 cm,99901_6pzs,575,21,0.01%,0.02%,730,24,0.01%,0.01%,99.13%,100.00%,37,4,6.43%,19.05%,"366,80 €","39,96 €",36,4
B017HKG9PK,B0044R87VO,Arcos Maitre - Cuchillo Jamonero Flexible - Acero Inoxidable NITRUM 275 mm - Mango Polipropileno negro,151200,"4,022",117,0.09%,0.10%,"4,459",127,0.07%,0.08%,80.38%,67.82%,36,0,0.90%,0.00%,"575,64 €","0,00 €",35,0
B017HKG9PK,B0044R87W8,"Arcos Cuchillo Santoku Acero Inoxidable Nitrum. Cuchillo Cocina japonés Pescado, Carne y Verduras. Mango ergonómico polioximetileno Pom y Hoja 170 mm. Multiusos. Serie Maitre. Color Negro.",151600_fba,"8,933",216,0.21%,0.19%,"13,146",312,0.22%,0.19%,8.48%,5.64%,39,5,0.44%,2.31%,"731,28 €","93,78 €",35,3
B0B3CWSDRQ,B00CF20V2I,ARCOS Chaira Afilador Manual Acero Carbono Cromado Negro 230 mm,278100_,"4,254",134,0.10%,0.12%,"6,102",182,0.10%,0.11%,7.32%,25.60%,41,9,0.96%,6.72%,"481,03 €","97,91 €",35,7
B08VRP7CR7,B08MTXC14T,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos Carne Cuchillo chuleteros | Cubiertos Acero Inoxidable | Hoja 110 mm | Mango Redondo y Forma Ovalada | monobock | Caja Envase Ecológico (6 unidades),809900FBM,"1,153",26,0.03%,0.02%,"1,708",34,0.03%,0.02%,95.09%,100.00%,46,2,3.99%,7.69%,"1.280,34 €","55,98 €",35,2
