ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FD46SGNM,B07DQRFDMB,Arcos Manhattan Cuchillo Santoku Forjado Acero POM Negro 190 mm,161600_,573,13,0.01%,0.01%,790,18,0.01%,0.01%,49.93%,42.86%,11,3,1.92%,23.08%,"379,39 €","103,47 €",10,3
B0BV37H1DN,B07N8W7718,Arcos Cuchillo Chef Forjado Acero Inoxidable Tamaño. Mango Profesional Micarta y BorSeda Especial con Hoja Plateada 250 mm. Impresiona yorprencon Cada Corte. Serie Brooklyn. Color Azul.,190823_,341,7,0.01%,0.00%,497,10,0.01%,0.00%,76.65%,85.71%,10,2,2.93%,28.57%,"529,90 €","105,98 €",10,2
B08WR6CHHN,B08MW17PLN,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillo chuleteros | Hoja 110 mm | monoblock | Cuchillo en 1 Sola Pieza | Cuchillos Carne Cubiertos Acero Inoxidable | Caja Envase Ecológico (Sierra Laser),815900fba,646,11,0.01%,0.01%,871,16,0.01%,0.01%,99.75%,100.00%,12,1,1.86%,9.09%,"479,88 €","39,99 €",10,1
B0CQLP3WHM,B08TWZRRGR,"Arcos Thera Sarten Grill Antiadherente de 28x28 Cm para Inducción, Gas y Vitrocerámica. Grill de Aluminio Fundido con Mango Ergonómico Extraíble y Apta para Lavavajillas. Color Negro y Azul",719400,373,12,0.01%,0.01%,494,21,0.01%,0.01%,79.37%,85.71%,10,1,2.68%,8.33%,"465,68 €","39,99 €",10,1
B09HRWYKDL,B09HRWYKDL,Arcos Juego de cuchillos Japoneses Profesionales | 4 piezas | Cuchillo Verduras 100 mm + Cocina 150 mm + Santoku con Alveolos 170 mm + Pelador de patatas,853100fbm,"1,070",20,0.02%,0.01%,"1,419",27,0.02%,0.01%,99.61%,100.00%,10,1,0.93%,5.00%,"363,07 €","36,99 €",10,1
B06XB92VRH,B09LYXZKTZ,CUPERINOX Deluxe Cafetera Italiana Induccion Espresso Inoxidable 4 Tazas,25051,"1,479",34,0.02%,0.02%,"1,895",43,0.02%,0.02%,55.57%,25.00%,10,0,0.68%,0.00%,"239,92 €","0,00 €",10,0
B06XB92VRH,B09LZ2VHYP,CUPERINOX Deluxe Cafetera Italiana Induccion Espresso Inoxidable 10 Tazas,25053FBM,"2,557",42,0.04%,0.03%,"3,225",51,0.04%,0.02%,68.98%,60.00%,10,0,0.39%,0.00%,"320,75 €","0,00 €",10,0
B0CRDWK8V7,B09T9QY59F,"Arcos Samoa Cazo Antiadherente Aluminio Forjado 20 cm 2,6 L",717310,"1,128",27,0.02%,0.02%,"1,580",46,0.02%,0.02%,20.91%,50.00%,10,2,0.89%,7.41%,"369,30 €","70,90 €",10,2
B0B42QTHTP,B0B42QTHTP,CUPERINOX | Tijeras de pescado 18 cm | Tijeras Cocina | tijeras de cocinero profesional para aves pescado carne caza| Accesorios de cocina,21991,500,20,0.01%,0.01%,743,29,0.01%,0.01%,86.54%,100.00%,70,66,14.00%,330.00%,"405,36 €","373,40 €",10,6
B0C5XR2TFF,B0C5XR2TFF,Arcos Serie Thera | Sarten Antiadherente 22 cm | Aluminio Fundido | Apta cualquier cocina | Mango Ergonómico Plástico y Silicona | Sistema ahorro energético | Apta lavavajillas | Color Negro y Azul,719800,157,1,0.00%,0.00%,224,3,0.00%,0.00%,94.97%,100.00%,10,0,6.37%,0.00%,"322,50 €","0,00 €",10,0
B0DKP7F29P,B0DJBZK9SX,"Arcos Serie Samoa Iconic | Cazo Antiadherente Cerámico 16 cm y 1,5 L | Aluminio Forjado | Apta cualquier cocina | Mango Acero Inoxidable | Color Negro | LIBRE DE (PFOA/PTFE/PFOS)",717222,606,16,0.01%,0.01%,704,20,0.01%,0.01%,89.95%,100.00%,10,1,1.65%,6.25%,"328,74 €","28,51 €",10,1
B0DKP7F29P,B0DJC1RQ9T,"Arcos Serie Samoa Iconic | Cacerola Antiadherente Cerámico 20 cm y 2,6 L | Aluminio Forjado | Apta cualquier cocina | Mango Acero Inoxidable | Color Negro | LIBRE DE (PFOA/PTFE/PFOS)",716922,936,13,0.02%,0.01%,"1,171",26,0.01%,0.01%,80.59%,35.71%,10,0,1.07%,0.00%,"540,62 €","0,00 €",10,0
B0FBRQYHVM,B0FBRLQK47,"CUPERINOX Ventilador Portatil, Camping, Exterior, Playa, Piscina, Festival| 5+ cargas movil| +48H de bateria | 20000mAh| Powerbank, Luz led, Mando a distancia y Temporizador",A270001,"3,630",138,0.06%,0.09%,"5,144",203,0.06%,0.10%,99.40%,99.31%,10,0,0.28%,0.00%,"514,90 €","0,00 €",10,0
B08TWZYBPZ,B0FZC8B2NX,"CUPERINOX - Estuche de Cuchillos Profesionales de Cocina 4 Piezas | Chef 20 cm, Santoku 18 cm, Universal 13 cm y Pelador 9 cm | Acero Inoxidable de Alta Precisión | Mango Ergonómico",19301,605,14,0.01%,0.01%,864,21,0.01%,0.01%,99.10%,100.00%,10,1,1.65%,7.14%,"278,99 €","34,99 €",10,1
B0F54LTCFF,B0044R87I2,Arcos Conjunto Cuchillos 4 piezas (3 Cuchillos + 1 tijeras). Acero Inoxidable y Hoja mm. 1670 gr. Bloque madera pino. Mango ergonómico polioximetileno POM. Serie Universal. Mayor control. Color negro.,285000,"4,196",109,0.07%,0.07%,"5,584",134,0.06%,0.06%,86.66%,62.22%,9,0,0.21%,0.00%,"497,85 €","0,00 €",9,0
B017HKJ4T8,B0044R87QO,Arcos Cuchillo Chef Acero Inoxidable. Cuchillo cocina profesional para cortar una variedad alimentos. Mango ergonómico polioximetileno y Hoja 250 mm. Serie Universal. Color negro.,280704_fbm,"1,083",53,0.02%,0.04%,"1,350",64,0.02%,0.03%,19.31%,32.43%,13,3,1.20%,5.66%,"313,15 €","65,65 €",9,2
B017HKG9PK,B0044R87YQ,Arcos Cuchillo para Maitre Negro 100 mm,150500_us,"16,169",401,0.26%,0.27%,"22,047",534,0.25%,0.25%,6.25%,12.66%,16,14,0.10%,3.49%,"151,28 €","129,12 €",9,7
B0752NT3TH,B005LR7726,Arcos Serie Prochef - Tijeras de Cocina - Hoja de Acero Inoxidable - 210 mm - Mango de Polipropileno Color negro y rojo,185601_barras_Arcos,"12,829",408,0.21%,0.28%,"19,629",594,0.22%,0.28%,0.14%,2.46%,18,18,0.14%,4.41%,"156,92 €","156,92 €",9,9
B0CQ92BWQ8,B009QXKGKG,"HENDI Bolsa de Transporte y Reparto de Pizzas, Bolsa Portapizzas con Aislamiento, Impermeable, Bolsa para la Entrega de Pedidos de Pizza y Comidas, Interior 45x45x(H) 18cm, Roja, 47x47x(H) 21cm",H709818,232,16,0.00%,0.01%,339,17,0.00%,0.01%,57.72%,14.29%,12,0,5.17%,0.00%,"373,80 €","0,00 €",9,0
B00E5KWS1A,B00E5KWS1A,"Arcos Accesorios de Cocina - Juego de 5 Piezas (Pelador, Cascanueces, Sacacorchos, Prensa Ajos, Abrelatas) - Aleación de Zinc, Acabado Cromado, Caja Regalo - Plata",604500_,838,19,0.01%,0.01%,"1,091",28,0.01%,0.01%,35.89%,54.55%,9,0,1.07%,0.00%,"619,38 €","0,00 €",9,0
B0BQDHLWRL,B00I5N4PPK,Arcos Cuchillo Chuletero Acero Inoxidable Nitrum 110 mm,_809300_1Pieza,"1,744",46,0.03%,0.03%,"2,635",72,0.03%,0.03%,20.44%,18.60%,28,0,1.61%,0.00%,"154,26 €","0,00 €",9,0
